StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Statement,Zip,Age,Student Stat,Vac1,Vac2,Vac3,Vac5,Vac5_8_TEXT,Gen1,Gen1_6_TEXT,Gen2,Gen2_6_TEXT,Gen3,Gen3_7_TEXT,Gen4,Gen5,Gen5_6_TEXT,Gen6,Gen6_9_TEXT,Gen7,Gen7_6_TEXT,Thank You,Thank you!,Thank you!_8_TEXT
5/25/25 0:35,5/25/25 0:37,IP Address,100,164,True,5/25/25 0:37,R_3fpcTAI7yCXj50B,qr,EN,I agree to take part in this study,97405,25 - 34,No,Flu,Somewhat disagree,Somewhat disagree,"Too busy with work, school, or other responsibilities",,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Healthcare Provider,Social media,Friends and family",,"Cost or no insurance,Unsure where to go",,Affordable services or health insurance coverage,,"Its the insurance companies, not the people, causing healthcare crises. ",Paper flier or poster,
5/28/25 15:20,5/28/25 15:21,IP Address,100,105,True,5/28/25 15:21,R_5rNkVMfVhwt7whV,qr,EN,I agree to take part in this study,97401,18 - 24,Yes,"Flu,COVID",Strongly agree,Strongly agree,,,"Pharmacy,Student health center",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel,My healthcare provider suggested it",,Student health center,,"Regularly for routine check-ups (e.g., yearly or more)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Friends and family",,"Transportation challenges,Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits)",,"Reliable transportation options,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling",,,Paper flier or poster,
5/28/25 15:19,5/28/25 15:22,IP Address,100,168,True,5/28/25 15:22,R_6oiW9bCJDXZrVwl,qr,EN,I agree to take part in this study,97401,18 - 24,Yes,None,Somewhat disagree,Somewhat disagree,Don't think it was necessary,,Healthcare Provider's office (off-campus),,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Only when the need arises (e.g., for illness or urgent issues)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,Not Applicable,,Not Applicable,,,"Paper flier or poster,Friend, family member, or colleague",
5/28/25 16:13,5/28/25 16:15,IP Address,100,129,True,5/28/25 16:15,R_1GsEYBsIRP5KOBj,anonymous,EN,I agree to take part in this study,97401,18 - 24,No,"Flu,COVID",Strongly agree,Strongly agree,,,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Only when the need arises (e.g., for illness or urgent issues)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Social media,Friends and family",,"Transportation challenges,Long wait times (e.g. before or between visits)",,"Reliable transportation options,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication",,,"Social media (e.g., Facebook, Instagram, Twitter)",
5/28/25 16:16,5/28/25 16:18,IP Address,100,144,True,5/28/25 16:18,R_1j1hTq5D0VQLHjz,anonymous,EN,I agree to take part in this study,97402,18 - 24,Yes,Flu,Strongly agree,Neither agree nor disagree,"Concerns about vaccine safety or side effects,Don't think it was necessary",,Healthcare Provider's office (off-campus),,"To protect myself,To protect my friends and family",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)",Healthcare Provider,,Long wait times (e.g. before or between visits),,"Shorter wait times, more appointment availability, and easier scheduling",,,"Social media (e.g., Facebook, Instagram, Twitter)",
5/28/25 17:25,5/28/25 17:27,IP Address,100,127,True,5/28/25 17:27,R_6omjWzpCoiC5Vbb,anonymous,EN,I agree to take part in this study,97401,18 - 24,Yes,None,Neither agree nor disagree,Neither agree nor disagree,"Too busy with work, school, or other responsibilities",,Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Rarely, even when I have a health concern",Friends and family,,"Transportation challenges,Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Cost or no insurance,Unsure where to go",,Affordable services or health insurance coverage,,,"Social media (e.g., Facebook, Instagram, Twitter)",
5/28/25 17:27,5/28/25 17:30,IP Address,100,199,True,5/28/25 17:30,R_7mlTRLI78OS7Oz1,anonymous,EN,I agree to take part in this study,97206,18 - 24,Yes,"Flu,COVID",Strongly agree,Strongly agree,,,"Healthcare Provider's office (off-campus),Student health center",,"To protect myself,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Healthcare Provider,Friends and family",,"Transportation challenges,Scheduling conflicts (e.g., not open, no time off work/school),Cost or no insurance,No regular healthcare provider",,"Shorter wait times, more appointment availability, and easier scheduling,Affordable services or health insurance coverage",,,"Friend, family member, or colleague",
5/28/25 17:29,5/28/25 17:32,IP Address,100,204,True,5/28/25 17:32,R_1JaNkQQUMDV224s,anonymous,EN,I agree to take part in this study,97403,18 - 24,No,None,Somewhat agree,Neither agree nor disagree,"Too busy with work, school, or other responsibilities,Don't think it was necessary",,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Pamphlets or brochures,Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Social media",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Cost or no insurance",,"Clear information on available services and locations,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication,Affordable services or health insurance coverage",,,"Social media (e.g., Facebook, Instagram, Twitter)",
5/28/25 17:38,5/28/25 17:40,IP Address,100,146,True,5/28/25 17:40,R_31vJMUEzFbGiRoQ,qr,EN,I agree to take part in this study,97239,25 - 34,Yes,Flu,Strongly agree,Strongly agree,Limited clinic hours or scheduling conflicts,,"Healthcare Provider's office (off-campus),Pharmacy,Student health center",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Student health center,,"Regularly for routine check-ups (e.g., yearly or more)","Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Social media,Friends and family",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Cost or no insurance",,"Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication,Affordable services or health insurance coverage",,,"Social media (e.g., Facebook, Instagram, Twitter)",
5/28/25 17:31,5/28/25 17:40,IP Address,100,574,True,5/28/25 17:40,R_1YzdR0L09hU2juE,qr,EN,I agree to take part in this study,97401,18 - 24,Yes,None,Strongly disagree,Somewhat agree,"Uncertain where to go,Too busy with work, school, or other responsibilities,Other",Convenient pharmacy doesn't take my insurance.,Healthcare Provider's office (off-campus),,"To protect myself,It's needed for school, work, or travel,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits)",,"Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Affordable services or health insurance coverage,Other",Not needing a referral from GP,,Paper flier or poster,
5/28/25 18:59,5/28/25 19:27,IP Address,100,1708,True,5/28/25 19:27,R_7nDAQJj7ANZMjeX,anonymous,EN,I agree to take part in this study,97201,18 - 24,Yes,Flu,Strongly agree,Somewhat agree,,,"Healthcare Provider's office (off-campus),Student health center",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel",,Student health center,,"Every so often, for general health concerns (e.g., every 2-3 years)","Pamphlets or brochures,Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Social media",,"Cost or no insurance,Unsure where to go",,"Clear information on available services and locations,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication,Affordable services or health insurance coverage",,,"Friend, family member, or colleague",
5/28/25 21:32,5/28/25 21:35,IP Address,100,157,True,5/28/25 21:35,R_1jdjyIavRvlBGzC,qr,EN,I agree to take part in this study,97424,18 - 24,Yes,Flu,Somewhat agree,Neither agree nor disagree,"Too busy with work, school, or other responsibilities",,Healthcare Provider's office (off-campus),,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Scheduling conflicts (e.g., not open, no time off work/school)",,"Extended clinic hours,Affordable services or health insurance coverage",,,"Social media (e.g., Facebook, Instagram, Twitter),Friend, family member, or colleague",
5/29/25 12:20,5/29/25 12:23,IP Address,100,203,True,5/29/25 12:23,R_3v8QoeNFK2HCDYJ,qr,EN,I agree to take part in this study,97402,25 - 34,Yes,"Flu,COVID",Somewhat agree,Somewhat agree,,,Student health center,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Student health center,,"Only when the need arises (e.g., for illness or urgent issues)","Pamphlets or brochures,Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Friends and family",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Cost or no insurance,No regular healthcare provider,Unsure where to go",,"Reliable transportation options,Clear information on available services and locations,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication,Affordable services or health insurance coverage",,before I was insured there was no upfront communication about costs associated with a vaccine. ,Paper flier or poster,
5/29/25 23:30,5/29/25 23:34,IP Address,100,208,True,5/29/25 23:34,R_6uO0jpGGsXl2EXr,anonymous,EN,I agree to take part in this study,97402,25 - 34,No,None,Strongly disagree,Strongly disagree,Don't think it was necessary,,Not Applicable,,Not Applicable,,Healthcare Provider's Office (off-campus),,"Only when the need arises (e.g., for illness or urgent issues)",Online sources (e.g. WebMD or other medical sites),,Long wait times (e.g. before or between visits),,"Shorter wait times, more appointment availability, and easier scheduling,Affordable services or health insurance coverage",,,"Social media (e.g., Facebook, Instagram, Twitter),Friend, family member, or colleague",
6/1/25 19:12,6/1/25 19:21,IP Address,100,538,True,6/1/25 19:21,R_3qjrC3DwZOCTKAw,qr,EN,I agree to take part in this study,97405,25 - 34,No,"Flu,COVID",Somewhat agree,Strongly agree,,,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Pamphlets or brochures,Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Friends and family",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Cost or no insurance,No regular healthcare provider",,"Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication",,No,Paper flier or poster,
6/2/25 10:19,6/2/25 10:22,IP Address,100,175,True,6/2/25 10:22,R_1GjjwCVCcI7Obvp,anonymous,EN,I agree to take part in this study,97405,65+,No,"Flu,COVID",Strongly agree,Strongly agree,,,Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Social media",,Not Applicable,,"Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication",,,"Social media (e.g., Facebook, Instagram, Twitter)",
6/2/25 10:20,6/2/25 10:29,IP Address,100,501,True,6/2/25 10:29,R_5GN4NfncKAhatgI,anonymous,EN,I agree to take part in this study,97405,45 - 54,No,None,Neither agree nor disagree,Neither agree nor disagree,Other,Kept putting it off until it seemed unnecessary because the season was over,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"No regular healthcare provider,Other",Lack of available doctors in Eugene,"Shorter wait times, more appointment availability, and easier scheduling,Other",more doctors,"I don't think you should combine ""concerns about vaccine safety"" and ""concerns about side effects"" as one answer. Those are two very different things. I'm not worried the vaccine is unsafe, however knowing my arm is gonna be sore and I'm not going to feel well for a day or two did cause me to put off getting the vaccine this year. I just kept feeling like there was never a convenient time to deal with the side effects, and then I never got the shot. ","Social media (e.g., Facebook, Instagram, Twitter)",
6/2/25 12:55,6/2/25 12:57,IP Address,100,123,True,6/2/25 12:57,R_3tbBzuPywwcxI8V,anonymous,EN,I agree to take part in this study,97401,18 - 24,Yes,COVID,Somewhat agree,Strongly agree,"Too busy with work, school, or other responsibilities",,Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Pamphlets or brochures,Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Social media,Radio or TV,Friends and family",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Cost or no insurance",,"Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Affordable services or health insurance coverage",,,"Social media (e.g., Facebook, Instagram, Twitter)",
6/2/25 14:28,6/2/25 14:32,IP Address,100,240,True,6/2/25 14:32,R_3Du8pSOhFBJYTEw,anonymous,EN,I agree to take part in this study,97210,18 - 24,Yes,"Flu,COVID",Somewhat agree,Somewhat agree,,,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Social media,Friends and family",,"Transportation challenges,Scheduling conflicts (e.g., not open, no time off work/school),No regular healthcare provider,Personal barriers (e.g., can’t go alone, no childcare),Unsure where to go",,"Reliable transportation options,Clear information on available services and locations,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication,Affordable services or health insurance coverage",,I wish there were more (or I knew about more) of those communitu vaccine clinics that I saw during the early days of the Covid Vaccine where you could really easily go to your local community center and get your vaccinations. It’s really difficult to find out where to go when scheduling is such an issue. ,Email or newsletter,
6/2/25 15:30,6/2/25 15:32,IP Address,100,112,True,6/2/25 15:32,R_3fIYT93cHS57p0l,anonymous,EN,I agree to take part in this study,97402,45 - 54,No,None,Strongly disagree,Strongly disagree,"Medical or health-related concerns,Concerns about vaccine safety or side effects",,Not Applicable,,Not Applicable,,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Cost or no insurance,No regular healthcare provider",,"Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication",,,"Social media (e.g., Facebook, Instagram, Twitter)",
6/2/25 16:26,6/2/25 16:30,IP Address,100,193,True,6/2/25 16:30,R_3r27dHZfjxDFxUd,anonymous,EN,I agree to take part in this study,97478,18 - 24,Yes,"Flu,COVID",Somewhat agree,Somewhat disagree,,,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect my friends and family,It's needed for school, work, or travel",,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Friends and family",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),No regular healthcare provider",,"Shorter wait times, more appointment availability, and easier scheduling,Affordable services or health insurance coverage",,,"Friend, family member, or colleague",
6/2/25 16:42,6/2/25 16:44,IP Address,100,92,True,6/2/25 16:44,R_1xAe3YSjr71vPdD,qr,EN,I agree to take part in this study,97403,18 - 24,Yes,Flu,Somewhat agree,Neither agree nor disagree,"Too busy with work, school, or other responsibilities",,Pharmacy,,"To protect myself,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Pamphlets or brochures,Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Transportation challenges,Scheduling conflicts (e.g., not open, no time off work/school)",,"Reliable transportation options,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling",,,Paper flier or poster,
6/2/25 17:48,6/2/25 17:50,IP Address,100,127,True,6/2/25 17:50,R_5Dto1oqWcs9DU9V,anonymous,EN,I agree to take part in this study,97405,55 - 64,No,"Flu,COVID",Strongly agree,Strongly agree,,,Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits)",,"Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling",,,"Friend, family member, or colleague",
6/2/25 18:19,6/2/25 18:22,IP Address,100,200,True,6/2/25 18:22,R_6iMFF0zguQow7oB,anonymous,EN,I agree to take part in this study,97402,25 - 34,No,None,Strongly disagree,Strongly disagree,Other,"I would love to, but it’s too expensive with no health insurance.",Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Urgent Care or Emergency Department,,"Only when the need arises (e.g., for illness or urgent issues)","Pharmacist,Online sources (e.g. WebMD or other medical sites),Other",News,"Cost or no insurance,No regular healthcare provider",,Affordable services or health insurance coverage,,,"Social media (e.g., Facebook, Instagram, Twitter)",
6/3/25 13:00,6/3/25 13:04,IP Address,100,240,True,6/3/25 13:04,R_32KgrOX1AbB8RcG,anonymous,EN,I agree to take part in this study,97401,18 - 24,Yes,None,Somewhat agree,Somewhat agree,"Too busy with work, school, or other responsibilities",,Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel",,Healthcare Provider's Office (off-campus),,"Only when the need arises (e.g., for illness or urgent issues)",Healthcare Provider,,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits)",,"Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling",,,"Friend, family member, or colleague",
6/3/25 12:59,6/3/25 13:09,IP Address,100,627,True,6/3/25 13:09,R_3ghawt238UzmPKu,qr,EN,I agree to take part in this study,97401,18 - 24,Yes,None,Somewhat disagree,Somewhat disagree,Don't think it was necessary,,Healthcare Provider's office (off-campus),,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Friends and family",,Unsure where to go,,Clear information on available services and locations,,I understand the value of vaccines and I get them when necessary but as a busy college student I definitely haven’t prioritized getting yearly vaccines like COVID and the flu shot because it slips my mind and isn’t a priority.,Paper flier or poster,
6/4/25 13:21,6/4/25 13:24,IP Address,100,152,True,6/4/25 13:24,R_1GBXjeI5SQ6BbkF,qr,EN,I agree to take part in this study,97403,18 - 24,Yes,None,Somewhat agree,Somewhat agree,"Too busy with work, school, or other responsibilities",,"Healthcare Provider's office (off-campus),Student health center",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Student health center,,"Regularly for routine check-ups (e.g., yearly or more)",Online sources (e.g. WebMD or other medical sites),,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits)",,"Shorter wait times, more appointment availability, and easier scheduling",,I would have if I had time!,Other,On campus
6/4/25 13:54,6/4/25 13:58,IP Address,100,193,True,6/4/25 13:58,R_3PmlPIXh5tRGReV,qr,EN,I agree to take part in this study,97402,35 - 44,No,None,Strongly disagree,Strongly disagree,"Concerns about vaccine safety or side effects,Don't think it was necessary",,Healthcare Provider's office (off-campus),,Not Applicable,,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Online sources (e.g. WebMD or other medical sites),Social media,Radio or TV,Friends and family",,"Cost or no insurance,No regular healthcare provider",,Better online resources and communication,,,Paper flier or poster,
